iter	RMSE
0	33271.53913
1	31891.17371
2	31012.96651
3	29728.94205
4	29091.31866
5	28502.33944
6	27829.69292
7	27061.21539
8	26364.06267
9	26110.28294
10	25576.20293
11	25059.62146
12	24924.85947
13	24411.4376
14	24303.39274
15	24201.33452
16	23773.6265
17	23363.7129
18	22882.4669
19	22598.4555
20	22144.77479
21	22054.35609
22	21838.58569
23	21743.79358
24	21692.80776
25	21556.79864
26	21278.53336
27	20939.11967
28	20590.82919
29	20553.83573
30	20367.62583
31	20291.72183
32	20270.7123
33	20013.34858
34	19914.6543
35	19860.82235
36	19753.1183
37	19559.69226
38	19517.63206
39	19495.70222
40	19355.89493
41	19131.33025
42	19114.50371
43	19094.69264
44	19067.73873
45	18842.50826
46	18815.92996
47	18781.71776
48	18633.41729
49	18607.88673
50	18337.79347
51	18237.54764
52	18127.08882
53	18104.1508
54	18064.08731
55	17943.997
56	17902.86348
57	17886.69161
58	17791.89042
59	17686.00453
60	17620.0906
61	17560.96381
62	17504.34213
63	17419.42296
64	17361.01008
65	17266.02052
66	17181.63201
67	17059.78053
68	17020.60939
69	16916.39298
70	16865.98932
71	16838.08978
72	16739.43285
73	16658.05173
74	16607.987
75	16564.75158
76	16499.64175
77	16429.9971
78	16400.29402
79	16299.72248
80	16238.80582
81	16205.69039
82	16195.02698
83	16120.5972
84	16082.96703
85	16036.73102
86	16024.01755
87	15980.95388
88	15966.74029
89	15894.87912
90	15826.39755
91	15758.25496
92	15740.88885
93	15646.26775
94	15588.5762
95	15532.51021
96	15492.6049
97	15356.37336
98	15241.37559
99	15194.19376
100	15156.1185
101	15141.12801
102	15074.52109
103	15007.26522
104	14974.25548
105	14897.66809
106	14877.75929
107	14851.8181
108	14838.52921
109	14818.58156
110	14787.89653
111	14778.29667
112	14763.8962
113	14706.45993
114	14646.74183
115	14633.74505
116	14593.69586
117	14580.17372
118	14536.28079
119	14526.29904
120	14461.28555
121	14434.365
122	14405.62045
123	14389.13174
124	14365.5023
125	14336.69409
126	14314.99325
127	14281.48136
128	14251.18451
129	14160.51409
130	14097.59669
131	14057.59507
132	14035.56082
133	14026.12622
134	14004.3215
135	13985.20476
136	13960.20207
137	13879.37496
138	13798.52362
139	13785.08038
140	13775.96908
141	13755.99845
142	13747.69424
143	13727.02569
144	13657.8658
145	13648.55605
146	13618.76619
147	13593.56206
148	13545.62922
149	13518.90435
150	13495.19228
151	13450.83565
152	13443.66426
153	13408.52245
154	13390.3312
155	13357.02771
156	13326.11709
157	13295.87813
158	13270.82275
159	13241.53734
160	13216.44957
161	13174.75595
162	13142.35018
163	13135.57133
164	13103.47181
165	13069.73443
166	13043.04819
167	12996.0984
168	12975.93279
169	12956.72821
170	12900.00889
171	12893.91448
172	12866.84933
173	12786.77862
174	12760.69378
175	12752.25661
176	12736.26
177	12730.94104
178	12696.37263
179	12675.79423
180	12665.37705
181	12596.40162
182	12571.50823
183	12523.05354
184	12507.06594
185	12493.42205
186	12444.22464
187	12407.97438
188	12393.98614
189	12374.45049
190	12361.03105
191	12350.13534
192	12284.17746
193	12233.50274
194	12226.77055
195	12220.4525
196	12201.79446
197	12154.88959
198	12114.04792
199	12107.16817
200	12093.36598
201	12065.07534
202	12052.62918
203	12039.07793
204	12030.06593
205	12021.43865
206	12007.87232
207	11995.97603
208	11987.10211
209	11974.15124
210	11955.3564
211	11945.84699
212	11940.15316
213	11927.95501
214	11922.99929
215	11918.86678
216	11889.9944
217	11833.80126
218	11797.41586
219	11774.88197
220	11719.726
221	11708.30901
222	11692.84939
223	11660.64699
224	11630.29805
225	11596.72913
226	11584.29799
227	11536.17903
228	11501.39083
229	11451.19587
230	11412.39401
231	11392.063
232	11380.21814
233	11365.77281
234	11339.95276
235	11295.28317
236	11289.07967
237	11271.05709
238	11247.05488
239	11214.94338
240	11210.89729
241	11148.11139
242	11119.95984
243	11108.26987
244	11045.22071
245	11037.82924
246	11026.06934
247	11022.30772
248	10997.31558
249	10975.5846
250	10962.7363
251	10933.46727
252	10923.53286
253	10913.19825
254	10901.1491
255	10880.28949
256	10862.11622
257	10822.40896
258	10783.65133
259	10766.75273
260	10734.78051
261	10716.063
262	10686.67288
263	10678.36155
264	10663.20613
265	10654.88147
266	10645.43513
267	10640.183
268	10628.42985
269	10624.96042
270	10620.06141
271	10568.43369
272	10555.78288
273	10541.72796
274	10520.64174
275	10484.63121
276	10474.97301
277	10463.07868
278	10439.70643
279	10387.16559
280	10373.14017
281	10363.0884
282	10338.36462
283	10330.2028
284	10318.08509
285	10315.20337
286	10293.61613
287	10278.91597
288	10267.80993
289	10264.83163
290	10251.05584
291	10210.94172
292	10201.31396
293	10172.7017
294	10168.42971
295	10156.27265
296	10144.98784
297	10138.27401
298	10113.35359
299	10094.00235
300	10082.86684
301	10043.63665
302	10036.54757
303	10029.9989
304	10009.51423
305	9997.810956
306	9983.644495
307	9969.375689
308	9952.712668
309	9937.60965
310	9927.554826
311	9919.887438
312	9911.112018
313	9895.465714
314	9881.784757
315	9852.239076
316	9842.565358
317	9828.680531
318	9820.925586
319	9812.501757
320	9801.524048
321	9788.713093
322	9765.483786
323	9756.236597
324	9752.104965
325	9738.954624
326	9734.075747
327	9716.80284
328	9708.677245
329	9688.266779
330	9682.547159
331	9675.28492
332	9654.383635
333	9641.537678
334	9635.850922
335	9628.568017
336	9614.17367
337	9608.464117
338	9584.57275
339	9566.097977
340	9539.590034
341	9511.716557
342	9507.794193
343	9485.301704
344	9480.91062
345	9478.181645
346	9462.763502
347	9451.365285
348	9434.373041
349	9425.81182
350	9417.805586
351	9399.775181
352	9392.225062
353	9386.074524
354	9378.230095
355	9368.887196
356	9354.957618
357	9347.679253
358	9315.731363
359	9307.055381
360	9282.696929
361	9276.594086
362	9270.347846
363	9258.307649
364	9250.087634
365	9244.917387
366	9232.34257
367	9220.122642
368	9216.147112
369	9206.352064
370	9190.925897
371	9172.416283
372	9168.523842
373	9146.440991
374	9127.603167
375	9120.507079
376	9117.910525
377	9109.723697
378	9095.133
379	9064.316549
380	9061.359272
381	9050.073018
382	9035.456719
383	9027.211498
384	9021.890318
385	9006.01577
386	8986.280066
387	8972.939983
388	8956.731559
389	8948.833421
390	8943.256891
391	8932.608655
392	8909.466889
393	8904.38606
394	8898.254161
395	8888.840354
396	8876.167157
397	8865.893266
398	8851.685514
399	8842.858964
400	8833.740794
401	8828.519493
402	8823.795228
403	8816.789881
404	8805.057268
405	8785.951253
406	8770.417787
407	8760.428775
408	8751.726225
409	8746.599537
410	8731.351416
411	8709.990713
412	8699.808019
413	8692.460985
414	8679.782779
415	8671.158189
416	8665.256976
417	8659.835358
418	8656.172093
419	8651.703427
420	8645.969716
421	8643.463466
422	8638.202659
423	8632.270353
424	8620.065793
425	8602.018354
426	8597.597673
427	8592.115476
428	8585.43359
429	8579.604246
430	8576.127294
431	8565.913508
432	8563.689464
433	8561.009014
434	8551.689647
435	8543.939654
436	8533.257774
437	8516.006149
438	8513.309061
439	8500.244583
440	8483.028901
441	8473.531513
442	8453.727613
443	8429.002514
444	8425.180207
445	8418.67407
446	8411.196052
447	8399.992495
448	8391.975539
449	8387.314462
450	8384.614588
451	8381.542567
452	8375.845899
453	8367.733196
454	8362.003182
455	8340.321359
456	8331.44764
457	8328.697859
458	8316.412288
459	8306.351125
460	8299.619572
461	8281.851333
462	8269.599103
463	8263.78303
464	8254.035315
465	8238.94866
466	8231.186217
467	8227.016463
468	8220.832277
469	8214.44189
470	8212.121421
471	8207.797313
472	8204.696007
473	8200.864036
474	8198.80156
475	8196.641958
476	8192.215726
477	8184.190574
478	8181.933093
479	8177.920473
480	8174.153314
481	8170.612896
482	8164.088574
483	8154.391102
484	8149.400525
485	8145.82818
486	8142.545587
487	8126.343176
488	8112.833836
489	8096.738308
490	8088.819535
491	8083.617145
492	8077.003627
493	8073.855639
494	8070.889969
495	8063.591313
496	8060.827097
497	8058.211157
498	8055.736901
499	8049.361819
