iter	Passed	Remaining
0	2	1303
1	4	1114
2	6	1048
3	8	1012
4	9	984
5	11	965
6	13	954
7	15	950
8	17	948
9	19	939
10	20	933
11	22	927
12	24	920
13	26	918
14	28	913
15	30	908
16	31	905
17	33	902
18	35	899
19	37	895
20	39	891
21	40	888
22	42	884
23	44	880
24	46	877
25	47	873
26	49	870
27	51	868
28	53	865
29	55	862
30	56	861
31	58	858
32	60	856
33	62	855
34	64	853
35	66	852
36	67	849
37	69	848
38	71	845
39	73	843
40	75	840
41	76	838
42	78	835
43	80	833
44	82	830
45	84	829
46	85	826
47	87	824
48	89	823
49	91	821
50	93	819
51	94	817
52	96	815
53	98	813
54	100	811
55	102	809
56	103	807
57	105	805
58	107	803
59	109	802
60	111	800
61	113	798
62	114	796
63	116	794
64	118	793
65	120	791
66	122	789
67	124	788
68	125	786
69	127	784
70	129	782
71	131	782
72	133	780
73	135	778
74	136	776
75	138	774
76	140	772
77	142	771
78	144	769
79	146	768
80	148	767
81	150	765
82	151	763
83	153	761
84	155	759
85	157	758
86	159	756
87	161	755
88	163	753
89	164	751
90	166	749
91	168	748
92	170	746
93	172	744
94	174	742
95	176	741
96	178	740
97	180	738
98	181	737
99	183	735
100	185	733
101	187	732
102	189	730
103	191	728
104	193	727
105	195	726
106	197	724
107	199	722
108	200	720
109	202	719
110	204	717
111	206	715
112	208	713
113	210	712
114	212	710
115	214	708
116	216	707
117	217	705
118	219	703
119	221	701
120	223	700
121	225	698
122	227	696
123	229	695
124	231	693
125	232	691
126	234	689
127	236	687
128	238	686
129	240	684
130	242	683
131	244	681
132	246	679
133	248	677
134	250	675
135	251	674
136	253	672
137	255	670
138	257	669
139	259	667
140	261	665
141	263	663
142	265	661
143	266	659
144	268	658
145	270	656
146	272	654
147	274	653
148	276	651
149	278	650
150	280	648
151	282	646
152	284	644
153	286	642
154	287	640
155	289	639
156	291	637
157	293	636
158	295	634
159	297	632
160	299	630
161	301	629
162	303	627
163	305	625
164	307	624
165	309	622
166	311	620
167	313	618
168	315	616
169	316	615
170	318	613
171	320	611
172	322	609
173	324	608
174	326	606
175	328	604
176	330	602
177	331	600
178	333	598
179	335	596
180	337	594
181	339	593
182	341	591
183	343	589
184	345	588
185	347	586
186	349	584
187	351	582
188	352	580
189	354	578
190	356	577
191	358	575
192	360	573
193	362	572
194	364	570
195	366	568
196	368	566
197	370	564
198	372	562
199	374	561
200	376	559
201	378	557
202	379	555
203	381	553
204	383	552
205	385	550
206	387	548
207	389	546
208	391	544
209	392	542
210	394	540
211	396	538
212	398	536
213	400	534
214	402	533
215	403	531
216	406	529
217	408	527
218	409	526
219	411	524
220	413	522
221	415	520
222	417	518
223	419	516
224	421	515
225	423	513
226	425	511
227	427	509
228	429	508
229	431	506
230	433	504
231	435	502
232	437	500
233	439	499
234	441	497
235	443	495
236	444	493
237	446	491
238	448	489
239	450	488
240	452	486
241	454	484
242	456	482
243	458	481
244	460	479
245	462	477
246	464	475
247	466	473
248	467	471
249	470	470
250	472	468
251	474	466
252	475	464
253	477	462
254	479	460
255	481	459
256	483	457
257	485	455
258	487	453
259	489	452
260	491	450
261	493	448
262	495	446
263	497	444
264	499	442
265	501	441
266	503	439
267	505	437
268	507	435
269	509	433
270	510	431
271	512	429
272	514	428
273	516	426
274	518	424
275	520	422
276	522	420
277	524	418
278	526	416
279	528	415
280	530	413
281	532	411
282	534	409
283	535	407
284	537	405
285	539	403
286	541	402
287	543	400
288	545	398
289	547	396
290	549	394
291	551	392
292	553	390
293	555	389
294	557	387
295	558	385
296	560	383
297	562	381
298	564	379
299	566	377
300	568	375
301	570	373
302	572	371
303	573	370
304	575	368
305	577	366
306	579	364
307	581	362
308	583	360
309	585	358
310	587	356
311	589	354
312	590	353
313	592	351
314	594	349
315	596	347
316	598	345
317	600	343
318	602	341
319	604	339
320	606	338
321	608	336
322	610	334
323	612	332
324	613	330
325	615	328
326	617	326
327	619	324
328	621	322
329	623	321
330	625	319
331	627	317
332	629	315
333	630	313
